央视,#genre#
BRTV-纪实科教,http://118.251.69.109:4022/udp/239.76.254.65:9000
金鹰纪实,http://118.251.69.109:4022/udp/239.76.246.110:1234
长沙新闻综合,http://118.251.69.109:4022/udp/239.76.246.121:1234
长沙政法,http://118.251.69.109:4022/udp/239.76.246.122:1234
郴州综合,http://118.251.69.109:4022/udp/239.76.246.75:1234
生活家,http://118.251.69.109:4022/udp/239.76.246.220:1234
好吃厨房,http://118.251.69.109:4022/udp/239.76.246.221:1234
桂东融媒,http://118.251.69.109:4022/udp/239.76.246.231:1234
证券服务,http://118.251.69.109:4022/udp/239.76.246.236:1234
天下收藏,http://118.251.69.109:4022/udp/239.76.246.244:1234
天元围棋,http://118.251.69.109:4022/udp/239.76.246.2:1234
四海钓鱼,http://118.251.69.109:4022/udp/239.76.246.4:1234
快乐垂钓,http://118.251.69.109:4022/udp/239.76.246.5:1234
CHTV,http://118.251.69.109:4022/udp/239.76.246.10:1234
优优宝贝,http://118.251.69.109:4022/udp/239.76.246.13:1234
家庭理财,http://118.251.69.109:4022/udp/239.76.246.16:1234
财富天下,http://118.251.69.109:4022/udp/239.76.246.18:1234
先锋乒羽,http://118.251.69.109:4022/udp/239.76.246.51:1234
中国天气,http://118.251.69.109:4022/udp/239.76.246.61:1234
老故事,http://118.251.69.109:4022/udp/239.76.246.76:1234
书画,http://118.251.69.109:4022/udp/239.76.246.77:1234
中华特产,http://118.251.69.109:4022/udp/239.76.246.79:1234
汽摩,http://118.251.69.109:4022/udp/239.76.254.25:9000
环球奇观,http://118.251.69.109:4022/udp/239.76.254.26:9000
中学生,http://118.251.69.109:4022/udp/239.76.254.27:9000
环球旅游,http://118.251.69.109:4022/udp/239.76.254.46:9000
车迷,http://118.251.69.109:4022/udp/239.76.254.47:9000
国学,http://118.251.69.109:4022/udp/239.76.254.48:9000
生态环境,http://118.251.69.109:4022/udp/239.76.254.201:9000

影院,#genre#
CHC家庭影院,http://118.251.69.109:4022/udp/239.76.245.241:1234
CHC高清电影,http://118.251.69.109:4022/udp/239.76.245.242:1234
CHC动作电影,http://118.251.69.109:4022/udp/239.76.245.243:1234

教育,#genre#
CETV-1,http://118.251.69.109:4022/udp/239.76.245.192:1234
CETV-2,http://118.251.69.109:4022/udp/239.76.245.253:1234
CETV-4,http://118.251.69.109:4022/udp/239.76.245.254:1234
早期教育,http://118.251.69.109:4022/udp/239.76.254.202:9000
山东教育,http://118.251.69.109:4022/udp/239.76.245.191:1234

付费,#genre#
梨园,http://118.251.69.109:4022/udp/239.76.245.179:1234
文物宝库,http://118.251.69.109:4022/udp/239.76.245.180:1234
武术世界,http://118.251.69.109:4022/udp/239.76.245.181:1234
茶频道,http://118.251.69.109:4022/udp/239.76.245.239:1234

少儿,#genre#
金鹰卡通,http://118.251.69.109:4022/udp/239.76.246.107:1234
KAKU少儿,http://118.251.69.109:4022/udp/239.76.254.81:9000
新动漫,http://118.251.69.109:4022/udp/239.76.245.244:1234
嘉佳卡通,http://118.251.69.109:4022/udp/239.76.245.230:1234
哈哈炫动,http://118.251.69.109:4022/udp/239.76.245.133:1234
优漫卡通,http://118.251.69.109:4022/udp/239.76.245.112:1234

购物,#genre#
快乐购,http://118.251.69.109:4022/udp/239.76.246.112:1234
嘉丽购,http://118.251.69.109:4022/udp/239.76.246.245:1234
优购物,http://118.251.69.109:4022/udp/239.76.254.63:9000
